rating,date,review,likes,user_name,user_nb_reviews,user_nb_photos,cinéma,language
5,2024-11-10T16:04:01.460Z,,0,Marie (Missol69),14,2,UGC Ciné Cité Bercy,fr
5,2024-11-10T05:02:30.880Z,,0,SANDRINE VIENNE,5,0,UGC Ciné Cité Bercy,fr
5,2024-11-09T22:47:23.342Z,,0,Audrey L,125,21,UGC Ciné Cité Bercy,fr
5,2024-11-09T21:25:29.082Z,,0,Nioupnioup,65,68,UGC Ciné Cité Bercy,fr
4,2024-11-09T09:51:28.879Z,,0,Virginie Mouaatarif,20,9,UGC Ciné Cité Bercy,fr
5,2024-11-08T19:10:53.347Z,,0,Félix Marchand Le Gendre,1,0,UGC Ciné Cité Bercy,fr
5,2018-11-22T14:19:47.999Z,,0,guy nivot,18,0,UGC Ciné Cité Bercy,fr
5,2024-11-06T14:55:46.925Z,"Top organisation
La circulation est fluide malgré la foule.
Réservez vos places sur internet pour passer directement au contrôle d’entrée aux salles",0,Marc Marc,47,0,UGC Ciné Cité Bercy,fr
5,2024-11-06T14:02:23.987Z,,0,Serge Colent,6,0,UGC Ciné Cité Bercy,fr
5,2024-11-05T11:04:58.145Z,Bien organisé,0,Audrey VAZQUEZ,30,13,UGC Ciné Cité Bercy,fr
5,2024-11-05T08:21:48.830Z,"Salles agréables, et spacieuses, le meilleur de Paris",0,Dominique Duchaufour,2,0,UGC Ciné Cité Bercy,fr
4,2024-11-04T07:13:26.003Z,,0,Mimi Kat,6,0,UGC Ciné Cité Bercy,fr
1,2024-11-03T21:29:30.157Z,un cinéma qui n'a pas su se moderniser vieillot une impression de saleté dans un quartier plutôt sympa de plus une entrée dans une salle dégueulasse j'ai pas d'autres mots saleté avec des detritus sur les fauteuils pas nettoyé entre deux séances.. experience client (à 15 balles quand meme) Zéro pointé je comprend que les gens désertent le cinema,0,Guleziyan Michael,20,0,UGC Ciné Cité Bercy,fr
5,2024-11-03T18:28:51.594Z,,0,Jean-Marie Meyer,110,106,UGC Ciné Cité Bercy,fr
2,2024-11-03T12:45:16.529Z,Les salles n'étaient pas nettoyées,0,Arthur Lafont,4,0,UGC Ciné Cité Bercy,fr
5,2024-11-03T11:28:44.858Z,Accueil sympathique et salle confortable,0,Frédéric Le Pennuisic,38,8,UGC Ciné Cité Bercy,fr
5,2024-11-03T08:46:37.392Z,"Le cinéma est propre , les salles sont confortables",0,bilaeldlt,17,5,UGC Ciné Cité Bercy,fr
5,2024-05-01T22:00:51.726Z,,0,Antonia AIR,2,0,UGC Ciné Cité Bercy,fr
5,2024-11-02T18:59:25.706Z,,0,Léna Catin,22,0,UGC Ciné Cité Bercy,fr
5,2024-11-01T22:30:43.798Z,,0,Rémy,9,0,UGC Ciné Cité Bercy,fr
4,2024-11-01T22:04:16.719Z,"très bon cinéma, + de 30 salles, bien situé !
juste UGC si vous pouviez penser à mettre la clim quand les séances sont complètes ce serait cool (mourir de chaud pendant ~2h et ressortir en nage, BON.) ;)",0,Loup Aveline,17,3,UGC Ciné Cité Bercy,fr
5,2024-11-01T20:54:59.625Z,De très belles salles avec un large choix de films...,0,Sarravanabavan Durairaj,30,0,UGC Ciné Cité Bercy,fr
5,2024-11-01T09:30:21.815Z,C'est r'parti comme en 46,0,Chaï,11,0,UGC Ciné Cité Bercy,fr
5,2024-11-01T08:27:43.938Z,,0,Carole Moukagni,65,11,UGC Ciné Cité Bercy,fr
4,2024-10-31T20:28:21.778Z,"Nice place,the staff are nice. Loved it",0,Kaytleen Gacepon,5,3,UGC Ciné Cité Bercy,fr
5,2024-10-30T15:03:16.028Z,Au top !,0,sébastien deschamps,68,1,UGC Ciné Cité Bercy,fr
4,2024-10-29T18:12:45.692Z,,0,aicha,53,103,UGC Ciné Cité Bercy,fr
5,2024-10-29T10:29:03.647Z,,0,Hervé Saint Raymond,4,3,UGC Ciné Cité Bercy,fr
4,2024-10-29T07:02:06.876Z,,0,David de LACROIX,98,563,UGC Ciné Cité Bercy,fr
5,2024-10-28T16:43:04.804Z,,0,Thurairasah Thayanantha,10,51,UGC Ciné Cité Bercy,fr
5,2024-10-27T14:07:38.507Z,Très belles salles bel endroit,0,johann esmery,150,19,UGC Ciné Cité Bercy,fr
4,2024-10-27T13:57:47.974Z,,0,Lyro_59,4,6,UGC Ciné Cité Bercy,fr
5,2024-10-27T12:28:47.554Z,"Très grand cinéma, très propre, belles salles",0,Jeanne Brouard,26,13,UGC Ciné Cité Bercy,fr
5,2024-10-25T10:35:27.999Z,"Les sceances sont très abordables le cinéma est sympa je vais tout le temps la bas, c’est bien entretenu!",0,La_douille V12,20,3,UGC Ciné Cité Bercy,fr
5,2024-10-25T07:31:00.859Z,Un des meilleurs cinémas de Paris dans lequel je me rends régulièrement. Il n'y a pas trop de monde. Les salles sont grandes et confortables. La qualité du son et de l'image est irréprochable. Les toilettes sont propres. Les spectateurs sont civilisés et calmes durant la séance contrairement au UGC Les Halles qui s'est considérablement détérioré et que je ne vous recommande pas. Je conseille!,0,Daphné Msika,57,41,UGC Ciné Cité Bercy,fr
5,2024-10-24T19:00:41.761Z,"Une vingtaine de salles, un grand UGC",0,Antoine Rich,74,33,UGC Ciné Cité Bercy,fr
3,2024-10-24T18:37:33.783Z,Très compliqué de réserver via le site,0,Valerie Legrand,26,11,UGC Ciné Cité Bercy,fr
5,2024-10-24T15:50:35.980Z,,0,Monique Cazard,65,0,UGC Ciné Cité Bercy,fr
5,2024-10-24T11:16:10.773Z,,0,durand karl,79,255,UGC Ciné Cité Bercy,fr
3,2024-05-20T15:22:18.287Z,Correct sans plus,0,Ludovic Ludovic,107,24,UGC Ciné Cité Bercy,fr
4,2024-10-23T18:55:53.726Z,,0,Adam,3,0,UGC Ciné Cité Bercy,fr
4,2024-10-23T07:10:32.027Z,,0,Taf Zou,25,5,UGC Ciné Cité Bercy,fr
2,2024-10-19T16:28:11.324Z,Cinéma assez sale dans les salles ( Fauteuil et moquette),1,patbok,8,20,UGC Ciné Cité Bercy,fr
4,2024-10-22T17:00:43.615Z,,0,Genevieve OLIVIER,14,1,UGC Ciné Cité Bercy,fr
4,2024-10-22T13:30:58.853Z,"Apesanteur des sièges très haut.
Salle propre, bien suivre le sens des salles pairs et impaires pour éviter de se retrouver dans un labyrinthe.",0,Kevin gilard,44,0,UGC Ciné Cité Bercy,fr
5,2024-10-22T09:18:45.429Z,,0,Laurent Decottignies,3,2,UGC Ciné Cité Bercy,fr
5,2022-02-06T17:27:53.536Z,"C'est un cinéma UGC avec une très bonne suggestion de films. Il est bien situé, dans le quartier de Bercy. On y accède facilement par la station cour saint Émilion.
La grande majorité des salles sont très bien. Les écrans sont tous grands.
A noter que la grande majorité des films étrangers sont en version originale sous-titrée en français. Très bon cinéma",0,Zacharie Montfort (bluezac75),16,3,UGC Ciné Cité Bercy,fr
3,2024-10-21T18:32:02.192Z,"Le cinéma est doté de plusieurs belles et grandes salles , malheureusement le tarif est beaucoup trop élevé environ 12,50 € la place...",0,Isy Majbruch,594,4305,UGC Ciné Cité Bercy,fr
5,2024-10-21T14:21:06.308Z,"Juste excellent, très bien située, salles confortables et propre et l'environnement et top👌🇫🇷👍.",0,Paris Univers,1193,42576,UGC Ciné Cité Bercy,fr
4,2024-10-21T13:04:39.696Z,L'entrée du ciné n'est pas évidente à trouver lorsqu'on n'a pas l'habitude,0,Manuella M,33,42,UGC Ciné Cité Bercy,fr
5,2024-10-20T18:07:52.140Z,"Très grand, généralement propre.",0,GAPJO,26,0,UGC Ciné Cité Bercy,fr
4,2024-10-20T16:51:41.046Z,,0,Amine Herradi,12,0,UGC Ciné Cité Bercy,fr
5,2024-10-20T16:39:05.419Z,,0,David MENEZO,5,0,UGC Ciné Cité Bercy,fr
3,2024-10-20T15:24:49.366Z,"Ça fait plusieurs fois que je viens dans ce cinéma et à chaque fois je manque de me casser la figure dans les toilettes du bas.
C’est hyper sale et glissant",1,Chloé Lestang,21,0,UGC Ciné Cité Bercy,fr
5,2017-03-26T14:41:52.370Z,"Équipe super sympa !
Cinéma très agréable,pour aller voir des films
Avec un parc à côté",1,LAURENT BICHOTTE,455,8458,UGC Ciné Cité Bercy,fr
5,2024-05-15T09:30:24.760Z,,0,franck valentin,25,244,UGC Ciné Cité Bercy,fr
4,2024-10-19T11:01:28.181Z,,0,cemal ayaz,49,4,UGC Ciné Cité Bercy,fr
5,2024-10-18T18:55:10.193Z,Très bon multiplex,0,Rui Jorge Bras Duarte Carreira,149,190,UGC Ciné Cité Bercy,fr
2,2024-10-18T14:13:57.161Z,"J’ai l’habitude de venir à UGC qui est de base toujours correct mais ce jour là on a eu un accueil très désagréable.
Le vendeur au stand confiseries n’avait clairement pas envie d’être là, on était obligé de commander vite et tout en même temps pour qu’il ne fasse pas des « aller-retours » sur son stand. Je précise qu’il l’a dit d’un ton très désagréable et j’en passe des commentaires qu’il a fait par la suite. C’est totalement ridicule car c’est littéralement son travail et que le stand ne fait pas 3km… surtout qu’il n’y avait quasiment personne qui attendait à part nous et un groupe. Je n’ai même pas eu besoin de le dire aux personnes qui m’accompagnaient on a tous ressenti la même chose.",1,Vanida,45,49,UGC Ciné Cité Bercy,fr
4,2024-10-17T04:24:44.639Z,,0,Sandrine Sulmont,8,3,UGC Ciné Cité Bercy,fr
4,2024-10-16T21:03:07.334Z,Cinema,0,carlos amado,46,41,UGC Ciné Cité Bercy,fr
5,2024-10-15T16:49:58.291Z,,0,Jean Nicolas Tirlo,19,183,UGC Ciné Cité Bercy,fr
3,2024-10-15T12:56:32.360Z,"Ne peux noter moins ou plus n'ayant pas pu aller voir de film souhaiter car que en VOSTF, et pas envie de sous titre pour voir un film en soirée",0,Ben Delcourt,75,29,UGC Ciné Cité Bercy,fr
5,2024-10-14T21:09:26.060Z,Bien. Salle propre.,0,FRANK RASCLAS,32,27,UGC Ciné Cité Bercy,fr
5,2024-10-12T20:24:58.933Z,Les salles sont propres et la qualité est la,0,Denis Celik,31,136,UGC Ciné Cité Bercy,fr
5,2024-10-11T20:34:39.461Z,,0,candice carpentier,16,8,UGC Ciné Cité Bercy,fr
5,2024-10-11T17:14:19.960Z,,0,Jessi Gln,5,7,UGC Ciné Cité Bercy,fr
5,2024-10-11T11:48:18.118Z,,0,Bertrand Dupon,8,1,UGC Ciné Cité Bercy,fr
4,2024-10-09T21:29:46.127Z,"Je ne sais pas si c'est de la chance mais à chaque fois que je viens voir un film j'ai la place que je veux et la salle et a moitié vide donc plus calme :)
Dommage qu'à chaque nouvelle séance, il y a pas un service de nettoyage car souvent il y a du pop-corn, bouteille vide et papier partout.
Ça reste un bon cinéma 👍🏻",1,Alexoxo,69,22,UGC Ciné Cité Bercy,fr
5,2024-10-09T20:04:19.023Z,,0,Anissa Dif,16,0,UGC Ciné Cité Bercy,fr
5,2024-10-09T19:49:51.360Z,,0,Camille Mazars,26,12,UGC Ciné Cité Bercy,fr
5,2024-10-08T17:45:39.482Z,,0,Cassandre Filippini,14,5,UGC Ciné Cité Bercy,fr
5,2024-10-08T17:35:16.562Z,Tres compliche,0,Vasilica Matei,45,40,UGC Ciné Cité Bercy,fr
1,2023-02-13T15:45:30.792Z,"je hais ce cinéma . il s’est dégradé au fil du temps . Le personnel n’est pas sympa , les wc sont sales . Et je ne connaissais pas leur nouveau règlement que  la nourriture est interdite . J’ai été interdite d’accès aux salles parce que j’avais une barquette de sushi que je n’avais même pas l’intention de consommer. les règles , les restrictions encore plus , toujours plus .. bref, je déteste ce cinéma .",2,djeydjey Boo,22,0,UGC Ciné Cité Bercy,fr
5,2024-09-02T22:35:28.449Z,,0,Lune Moon,10,7,UGC Ciné Cité Bercy,fr
5,2024-10-07T12:13:40.840Z,,0,Fred,27,6,UGC Ciné Cité Bercy,fr
5,2024-10-07T02:57:44.700Z,,0,Florian russo,50,2,UGC Ciné Cité Bercy,fr
5,2024-10-06T20:58:45.411Z,,0,Chafik Bakour,26,15,UGC Ciné Cité Bercy,fr
4,2024-10-06T19:31:40.950Z,Une trentaine de salles pour ce cinéma très bien placé au village de Bercy. Beaucoup de nouveautés y sont projetées. Prix assez doux mais avec la carte UGC. Par contre les friandises et autres boissons sont hors de prix. Je recommande,0,Dr. Saad,128,244,UGC Ciné Cité Bercy,fr
3,2024-10-06T17:01:51.904Z,,0,Angela Bokolombe,12,1,UGC Ciné Cité Bercy,fr
4,2024-10-06T13:22:21.734Z,Super sympa et propre,0,maëva dillou,31,2,UGC Ciné Cité Bercy,fr
5,2024-10-05T20:56:02.971Z,Super lieu,0,Paul Fages,7,0,UGC Ciné Cité Bercy,fr
4,2024-10-05T20:36:03.891Z,,0,Marie - Nicole N'da,23,3,UGC Ciné Cité Bercy,fr
5,2024-10-05T11:52:19.232Z,Cine pas cher.,0,Ludovic Sananikone,76,24,UGC Ciné Cité Bercy,fr
